comment,date,support_number,user
照香港法院这效率，10年都审不完,11月27日 16:40 来自网页,6006,港闻速递
关键是有多少的被保释啊，一边抓，一边放,11月27日 16:40 来自网页,3042,黄埔刘老汉
香港市民有表达意见、言论及集会的自由，但必须和平守法。,11月27日 16:40 来自网页,2649,糖芯_Sweet
转发微博,1分钟前 来自网页    ,0,保诚出国
这种人应该禁止出境跟，永远待在香港,1分钟前 来自网页    ,0,爱吃香蕉的小哥
蝙蝠侠黑暗骑士,1分钟前 来自网页    ,0,冠彧
争取6000 7000,1分钟前 来自网页    ,0,影舞月光
就一个要求，别让他们过来内地。,2分钟前 来自网页    ,0,诗诗jia
那有多少人被保释了呢？,2分钟前 来自网页    ,0,叫我阿冬仔
刚看了使徒行者2，是不是香港警察里面真有黑警啊？,2分钟前 来自网页    ,0,Mid丶ILy_
一边香港英狗法奴消极审理，一边香港美国曱甴狂妄嚣张，阿中哥哥太难了,2分钟前 来自网页    ,1,小胖熊吃啥都胖
这些小年轻的父母都不管啊,3分钟前 来自网页    ,0,城墙上有才学的日月
没一个香港人都有责任，沉默就是放纵。,3分钟前 来自网页    ,0,想要天上月
哈哈,3分钟前 来自网页    ,0,我的女人你别碰KatieSS
才这么一点吗,3分钟前 来自网页    ,0,AkuQx
才这么一点吗,4分钟前 来自网页    ,0,AkuQx
特赦呗，不然可以怎么样？六个月都解决不了，垃圾！,4分钟前 来自网页    ,0,剪支Canonical
听说香港地皮很贵，所以我不知道香港监狱够不够用，不够用的话，义乌欢迎你，我们犯罪率还挺低的，监狱应该很够用。,4分钟前 来自网页    ,0,我是非文呀
香港地方小，寸土寸金，把这些人运到大陆这边吧，祖国妈妈帮你关着,4分钟前 来自网页    ,0,剎-那
香港地方小，寸土寸金，把这些人运到大陆这边吧，祖国妈妈帮你关着,4分钟前 来自网页    ,0,剎-那
不止吧,4分钟前 来自网页    ,0,银河萌宠
建议人大立法：凡涉及国防、外交、金融等涉及国家安全和重大利益的涉港涉澳案件，经全国人大常委会授权，两高可享有特别司法管辖权，并可指定下级机关管辖。,4分钟前 来自网页    ,0,从一棵树跳到另一棵树
被捕有用吗？不是还放吗？真的无语了,5分钟前 来自网页    ,0,密西西比河3408
470人为警务人员？？知法犯法？,5分钟前 来自网页    ,0,乙苏苏
470人为警务人员？？知法犯法？,5分钟前 来自网页    ,0,乙苏苏
有什么意义？给点钱又出来了,5分钟前 来自网页    ,0,_越野兔
这么一大批只有流放了……荒漠戈壁无人区,6分钟前 来自网页    ,0,多想再听您叫我一声乳名SDDY
700万里面是不止5800人的，这些只是暴徒，有些是暗里搞独立，港星就一大堆，比如杜汶泽何韵诗周柏豪李佳芯等,6分钟前 来自网页    ,0,shuxian围脖
对hk所谓的法治无语了,6分钟前 来自网页    ,0,一只小晓晓
排队进局过大年！,6分钟前 来自网页    ,0,涛涛rising
昨晚梦见自己怒怼废青，废青想动手直接把他们打的趴地上动不了，然后升国旗唱国歌,6分钟前 来自网页    ,0,流殇玥影
